Crop,Days from Sowing (Start),Stage,Disease
Wheat,0,Sowing,Seed Rot
Wheat,0,Sowing,Black Point
Wheat,0,Sowing,Loose Smut
Wheat,10,Germination,Damping-off (Pythium)
Wheat,10,Germination,Seedling Blight (Fusarium)
Wheat,10,Germination,Root Rot (Fusarium)
Wheat,12,Emergence,Damping-off (Pythium)
Wheat,12,Emergence,Seedling Blight (Fusarium)
Wheat,25,Tillering,Yellow Rust
Wheat,25,Tillering,Barley Yellow Dwarf Virus (BYDV)
Wheat,25,Tillering,Root Rot (Fusarium)
Wheat,40,Stem Elongation / Jointing,Crown Rot
Wheat,40,Stem Elongation / Jointing,Root Rot (Fusarium)
Wheat,55,Booting,Leaf Blight
Wheat,55,Booting,Stripe Rust
Wheat,65,Heading,Fusarium Head Blight
Wheat,65,Heading,Leaf Rust
Wheat,95,Grain Filling,Septoria Leaf Blotch
Wheat,95,Grain Filling,Leaf Rust
Wheat,110,Maturity,Leaf Rust
Wheat,120,Harvest,Storage Fungi (Aspergillus)
Corn,0,Sowing,Damping off (Rhizoctonia solani)
Corn,0,Sowing,Seed rot / damping off (Pythium spp.)
Corn,0,Sowing,Seedling blight (Fusarium spp.)
Corn,10,Germination,Damping off (Pythium spp.)
Corn,10,Germination,Seedling blight (Fusarium spp.)
Corn,12,Emergence,Early downy mildew (Peronosclerospora sorghi)
Corn,12,Emergence,Seedling blight (Fusarium spp.)
Corn,20,Vegetative Stage,Common rust (Puccinia sorghi)
Corn,20,Vegetative Stage,Downy mildew (Peronosclerospora sorghi)
Corn,20,Vegetative Stage,Gray leaf spot 
Corn,20,Vegetative Stage,Northern leaf blight (Exserohilum turcicum)
Corn,20,Vegetative Stage,Southern leaf blight / Maydis leaf blight (Bipolaris maydis)
Corn,60,Tasseling,Common rust (Puccinia sorghi)
Corn,60,Tasseling,Gray leaf spot
Corn,60,Tasseling,Northern leaf blight (Exserohilum turcicum)
Corn,72,Silking,Common smut (Ustilago maydis)
Corn,72,Silking,Fusarium ear rot (Fusarium verticillioides)
Corn,75,Blister Stage,Aspergillus ear rot (Aspergillus flavus)
Corn,75,Blister Stage,Fusarium ear rot
Corn,80,Milk Stage,Anthracnose leaf & stalk (Colletotrichum graminicola)
Corn,80,Milk Stage,Gibberella/Fusarium stalk rot (Fusarium graminearum)
Corn,90,Dough Stage,Charcoal rot (Macrophomina phaseolina)
Corn,90,Dough Stage,"Stalk rot complex (Fusarium, Gibberella)"
Corn,100,Dent Stage,Aspergillus ear rot (aflatoxin risk)
Corn,100,Dent Stage,Diplodia ear rot (Stenocarpella maydis)
Corn,100,Dent Stage,Late gray leaf spot
Corn,110,Maturity,Stalk rots leading to lodging
Corn,120,Harvest,Grain molds if delayed / wet harvest
cotton,0,Sowing,"Seed rot / damping-off (Rhizoctonia, Pythium)"
